date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:36:46	28196/28196	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226e24-584cf8a8ac440%22	https://preview.colorlib.com/theme/digilab/fonts/open-iconic/open-iconic.eot	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/fonts/open-iconic/open-iconic.eot	(from https://preview.colorlib.com/theme/digilab/css/open-iconic-bootstrap.min.css)
13:36:46	28196/28196	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226e24-584cf8a8ac440%22	https://preview.colorlib.com/theme/digilab/fonts/open-iconic/open-iconic.eot?	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/fonts/open-iconic/open-iconicd41d.eot	(from https://preview.colorlib.com/theme/digilab/css/open-iconic-bootstrap.min.css)
13:36:47	14984/14984	---M--	200	added ('OK')	font/woff	etag:%223a88-584cf8af59400%22	https://preview.colorlib.com/theme/digilab/fonts/open-iconic/open-iconic.woff	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/fonts/open-iconic/open-iconic.woff	(from https://preview.colorlib.com/theme/digilab/css/open-iconic-bootstrap.min.css)
13:36:47	28028/28028	---MCZ	200	added ('OK')	font/ttf	etag:W/%226d7c-584cf8ac7cd40%22	https://preview.colorlib.com/theme/digilab/fonts/open-iconic/open-iconic.ttf	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/fonts/open-iconic/open-iconic.ttf	(from https://preview.colorlib.com/theme/digilab/css/open-iconic-bootstrap.min.css)
13:36:47	20996/20996	---MCZ	200	added ('OK')	font/ttf	etag:W/%225204-584cf8a8ac440%22	https://preview.colorlib.com/theme/digilab/fonts/open-iconic/open-iconic.otf	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/fonts/open-iconic/open-iconic.otf	(from https://preview.colorlib.com/theme/digilab/css/open-iconic-bootstrap.min.css)
13:36:48	54789/54789	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d605-584cf8b04d640%22	https://preview.colorlib.com/theme/digilab/fonts/open-iconic/open-iconic.svg	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/fonts/open-iconic/open-iconic.svg	(from https://preview.colorlib.com/theme/digilab/css/open-iconic-bootstrap.min.css)
13:36:48	2163/2163	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Aug%202023%2009:44:31%20GMT	https://preview.colorlib.com/theme/digilab/css/owl.video.play.png	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/css/owl.video.play.png	(from https://preview.colorlib.com/theme/digilab/css/owl.carousel.min.css)
13:36:48	112826/112826	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221b8ba-584cf94cb4740%22	https://preview.colorlib.com/theme/digilab/fonts/ionicons/fonts/ionicons.eot?v=4.0.0-19	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/fonts/ionicons/fonts/ionicons580c.eot	(from https://preview.colorlib.com/theme/digilab/css/ionicons.min.css)
13:36:49	50592/50592	---M--	200	added ('OK')	font/woff2	etag:%22c5a0-584cf961af8c0%22	https://preview.colorlib.com/theme/digilab/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/fonts/ionicons/fonts/ionicons580c.woff2	(from https://preview.colorlib.com/theme/digilab/css/ionicons.min.css)
13:36:50	66024/66024	---M--	200	added ('OK')	font/woff	etag:%22101e8-584cf95ddefc0%22	https://preview.colorlib.com/theme/digilab/fonts/ionicons/fonts/ionicons.woff?v=4.0.0-19	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/fonts/ionicons/fonts/ionicons580c.woff	(from https://preview.colorlib.com/theme/digilab/css/ionicons.min.css)
